Grapevine cultivar	Berry Number_2011	Berry Number_2012	Berry Number_2013	Berry Number_2015	Berry Number_2016	Berry Number_2017	Flower Number_2015	Flower Number_2016	Flower Number_2017	Fruitset_2015	Fruitset_2016	Fruitset_2017	Millerandage Index_2015	Millerandage Index_2016	Millerandage Index_2017	Coulure Index_2015	Coulure Index_2016	Coulure Index_2017	Seed Number_2011	Seed Number_2012	Seed Number_2013
ESP217_VIVC277_5001	126.9	86.5	106	104.6	195.5	138.4	263.16	176.5	177.8	0.47	1.14	0.81	3.12	1.09	2.18	4.22	-2.44	0.05	1.61	2.24	1.71
ESP217_VIVC15689_5002	92.6	83.1	68.7	108.6	135	74	202.1	226.4	139.8	0.55	0.6	0.53	0.75	0.45	1.14	4.19	3.75	4.03	2.41	2.76	2.01
ESP217_VIVC247_5003	NA	75.5	NA	49.6	NA	81.78	281.25	NA	264.8	0.21	NA	0.32	1.45	NA	1.63	7.94	NA	6.45	NA	1.67	NA
ESP217_VIVC262_5005	87.8	72.2	132.5	112.4	137.3	120	693.39	628	592	0.18	0.24	0.21	4.73	2.33	1.94	6.92	7.15	7.48	1.88	2.77	2.41
ESP217_VIVC349_5006	42.5	41	43.9	62.6	82	51.56	342.56	478.4	325.3	0.2	0.2	0.15	4.15	3.56	3.31	6.88	7.34	7.74	2.01	2.63	3.52
ESP217_VIVC304_5008	137.3	99.4	90.9	184.2	203	144.2	449.08	459	414.7	0.41	0.45	0.35	0	0.16	0.1	5.9	5.51	6.49	2.33	1.85	1.83
ESP217_VIVC312_5009	127.3	102.4	80.5	109.8	167.7	101.6	190.79	211.2	162.3	0.58	0.81	0.64	0.94	0.26	0.31	3.65	1.85	3.54	2.21	2.38	1.21
ESP217_VIVC761_5015	111.2	87.9	151.7	176.6	170	164.6	378.77	581.33	415.9	0.56	0.62	0.54	2.11	5.32	2.66	4.09	3.76	4.6	2.09	1.93	1.85
ESP217_VIVC792_5016	81.1	93.3	NA	58.6	71.57	102.2	109.36	200	202.43	0.56	0.36	0.46	0.39	0.38	0.12	4.42	6.28	5.43	1.81	2.23	NA
ESP217_VIVC5648_5021	259.5	NA	206.2	246	293.11	192.6	699.41	858.7	568.5	0.36	0.31	0.34	3.3	1.75	0.46	4.75	6.28	6.45	2.2	NA	1.73
ESP217_VIVC974_5022	133.8	120.4	104.7	158.6	177.7	138.78	231.83	286.1	219.89	0.8	0.68	0.74	1.55	1.12	1.54	1.91	3.01	2.54	1.92	1.91	1.98
ESP217_VIVC1493_5027	159.8	168.3	NA	193.6	454	263.6	381.74	750.1	489.9	0.62	0.66	0.7	2.05	1.09	2.37	3.62	3.21	2.95	2.35	1.99	NA
ESP217_VIVC12633_5028	139	76.3	108.7	199.75	184	144.5	497.09	802.2	655.2	0.37	0.24	0.23	1.9	0.81	1.24	6.03	7.5	7.48	1.46	2.09	1.69
ESP217_VIVC1650_5029	121.6	75.8	196.1	162	247.44	146	426.21	406.22	250	0.26	0.61	0.59	2.99	1.24	1.34	6.75	3.04	3.26	1.55	2	1.65
ESP217_VIVC1927_5030	134.4	NA	95.9	162.2	162.7	135	344.22	461.6	351.7	0.47	0.35	0.39	1.37	1.77	1.49	4.54	5.72	5.49	2.05	NA	1.65
ESP217_VIVC1929_5031	126.3	156.8	154.8	146.6	106.8	146.4	449.97	715.2	461	0.33	0.15	0.32	2.65	1.83	0.89	5.57	8.17	6.51	1.74	1.94	1.85
ESP217_VIVC1564_5032	72.3	64.9	81.8	79.2	86.5	69	223.36	247.75	171.4	0.38	0.42	0.45	2.71	2.05	2.11	5.14	5.61	4.89	2.21	2.19	1.93
ESP217_VIVC22710_5034	141.3	104.5	141.9	131.6	205.5	169.6	501.96	607.2	649.5	0.28	0.35	0.29	3.52	0.95	1.66	5.95	6.26	6.87	2.35	2.68	2.94
ESP217_VIVC12865_5035	NA	138.1	97.4	94.8	95.3	110.1	521.21	572.5	588.1	0.19	0.18	0.19	3.45	1.62	1.3	7.22	8.01	7.85	NA	2.85	2.14
ESP217_VIVC2008_5036	99.7	68.4	69.1	63.2	69	70.6	432.55	620.6	509.2	0.23	0.17	0.19	4.56	3.65	3.55	7.31	8.25	7.85	1.75	2.63	2.29
ESP217_VIVC2091_5037	NA	37.8	NA	45.8	NA	NA	341.68	NA	377.7	0.18	NA	NA	3.64	NA	NA	7.89	NA	NA	NA	1.67	NA
ESP217_VIVC2115_5038	171.44	145.8	125	275.75	316.67	265.8	431.25	826.4	773.3	0.52	0.4	0.35	1.34	1.13	0.56	4.1	5.69	6.36	2.07	1.69	1.76
ESP217_VIVC2384_5043	133.4	88.9	102.9	168.2	172	164.9	623.1	885.7	795.3	0.32	0.24	0.22	1.49	2	0.69	6.83	7.57	7.77	1.83	2.04	2.22
ESP217_VIVC2455_5045	111.2	81.3	128	83.6	140.67	104.8	162.87	202.89	144.6	0.57	0.76	0.75	1.8	1.27	0.98	3.74	2.06	1.96	1.55	1.66	1.11
ESP217_VIVC2742_5049	NA	139.3	115.4	NA	356.5	169.25	NA	298.71	177.13	NA	1.02	0.96	NA	0.03	0.17	NA	-0.26	0.28	NA	2.89	2.28
ESP217_VIVC2672_5050	89.4	68.4	105.3	134.25	209.6	108.1	218.01	532.7	349.1	0.58	0.43	0.35	1.86	1.55	1.5	3.95	5.34	6.36	1.9	1.91	1.55
ESP217_VIVC2695_5051	140.7	149.45	173.8	143.4	228.2	215.6	796.51	911.5	666.5	0.18	0.26	0.33	1.7	0.57	0.47	7.83	7.34	6.6	1.66	1.8	1.92
ESP217__5054	116.4	76.4	104.6	125.4	153.56	177.2	242.12	527.2	375.2	0.61	0.32	0.5	1.79	1.39	0.93	3.69	6.71	4.79	1.23	2.36	1.71
